Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
    6.1357     5.9790   405.4225    -0.0350     0.0389    -0.9986    -0.5980     0.7998     0.0521     0.8007     0.5990    -0.0047        n/a   112.7054
    6.1182     5.9985   404.9233    -0.0350     0.0389    -0.9986     0.6024    -0.7965    -0.0521    -0.7974    -0.6034     0.0044     0.0000   112.7051
    6.1007     6.0179   404.4241    -0.0350     0.0389    -0.9986     0.5980    -0.7998    -0.0521    -0.8007    -0.5990     0.0047     0.0000   112.7048
    6.0833     6.0374   403.9249    -0.0350     0.0389    -0.9986    -0.5980     0.7998     0.0521     0.8007     0.5990    -0.0047     0.0001   112.7047
    6.0658     6.0568   403.4256    -0.0349     0.0388    -0.9986     0.5980    -0.7998    -0.0520    -0.8007    -0.5990     0.0047     0.0004   112.7040
    6.0483     6.0762   402.9264    -0.0351     0.0391    -0.9986    -0.5980     0.7998     0.0523     0.8007     0.5990    -0.0047     0.0016   112.7055
    6.0321     6.0940   402.4271    -0.0267     0.0279    -0.9993     0.5996    -0.7993    -0.0383    -0.7998    -0.6002     0.0046     0.0577   112.6334
    6.0212     6.1046   401.9274    -0.0203     0.0194    -0.9996    -0.5980     0.8010     0.0277     0.8013     0.5983    -0.0047     0.0152   112.5935
    6.0104     6.1152   401.4277    -0.0222     0.0218    -0.9995     0.5626    -0.8262    -0.0305    -0.8265    -0.5630     0.0061     0.0032   112.6032
    5.9995     6.1258   400.9281    -0.0212     0.0207    -0.9996     0.7638    -0.6447    -0.0296    -0.6451    -0.7641    -0.0021     0.0025   112.5982
    5.9887     6.1364   400.4284    -0.0231     0.0226    -0.9995    -0.7192     0.6941     0.0323     0.6944     0.7196     0.0002     0.0130   112.6072
    5.9778     6.1470   399.9287    -0.0166     0.0162    -0.9997     0.7171    -0.6966    -0.0232    -0.6968    -0.7173    -0.0001     0.0494   112.5783
    5.9757     6.1491   399.4290     0.0117    -0.0112    -0.9999     0.7171    -0.6968     0.0162    -0.6969    -0.7172    -0.0001     0.1084   112.5621
    5.9872     6.1380   398.9294     0.0259    -0.0251    -0.9993    -0.7179     0.6953    -0.0361     0.6957     0.7183     0.0000     0.0287   112.6203
    5.9986     6.1269   398.4297     0.0220    -0.0212    -0.9995     0.7361    -0.6761     0.0306    -0.6765    -0.7365     0.0008     0.0066   112.5993
    6.0101     6.1158   397.9301     0.0235    -0.0229    -0.9995     0.4934    -0.8692     0.0315    -0.8695    -0.4939    -0.0092     0.0025   112.6071
    6.0216     6.1048   397.4304     0.0214    -0.0202    -0.9996    -0.5973     0.8015    -0.0289     0.8018     0.5976     0.0051     0.0163   112.5949
    6.0330     6.0937   396.9308     0.0284    -0.0294    -0.9992     0.6009    -0.7983     0.0406    -0.7988    -0.6015    -0.0050     0.0629   112.6401
    6.0502     6.0750   396.4315     0.0370    -0.0409    -0.9985    -0.6051     0.7942    -0.0550     0.7953     0.6062     0.0047     0.0053   112.7173
    6.0685     6.0548   395.9324     0.0367    -0.0404    -0.9985     0.6378    -0.7683     0.0545    -0.7693    -0.6389    -0.0024     0.0028   112.7133
    6.0869     6.0346   395.4332     0.0361    -0.0398    -0.9986    -0.6658     0.7442    -0.0538     0.7453     0.6667     0.0004     0.0060   112.7082
    6.1052     6.0144   394.9340     0.0387    -0.0426    -0.9983     0.6693    -0.7408     0.0576    -0.7420    -0.6704    -0.0001     0.0212   112.7319
    6.1235     5.9942   394.4349     0.0290    -0.0320    -0.9991    -0.6700     0.7411    -0.0432     0.7418     0.6707     0.0001     0.0787   112.6500
    6.1283     5.9890   393.9357    -0.0162     0.0181    -0.9997    -0.6705     0.7415     0.0243     0.7418     0.6707     0.0001     0.1920   112.5787
    6.1109     6.0083   393.4364    -0.0397     0.0441    -0.9982     0.6692    -0.7407    -0.0594    -0.7420    -0.6704    -0.0001     0.0516   112.7444
    6.0935     6.0276   392.9372    -0.0335     0.0372    -0.9987    -0.6656     0.7446     0.0501     0.7455     0.6665    -0.0002     0.0146   112.6869
    6.0761     6.0469   392.4380    -0.0349     0.0387    -0.9986     0.6358    -0.7701    -0.0520    -0.7711    -0.6368     0.0023     0.0069   112.6979
    6.0587     6.0662   391.9387    -0.0357     0.0399    -0.9986    -0.6005     0.7978     0.0533     0.7988     0.6016    -0.0045     0.0128   112.7065
    6.0413     6.0855   391.4395    -0.0310     0.0335    -0.9990     0.5953    -0.8022    -0.0454    -0.8029    -0.5961     0.0049     0.0444   112.6623
    6.0282     6.0990   390.9400    -0.0227     0.0224    -0.9995     0.5998    -0.7995    -0.0315    -0.7998    -0.6002     0.0048     0.0113   112.6016
    6.0174     6.1095   390.4403    -0.0215     0.0206    -0.9996    -0.6737     0.7385     0.0297     0.7387     0.6740    -0.0020     0.0025   112.5938
    6.0065     6.1200   389.9406    -0.0219     0.0215    -0.9995    -0.0439     0.9988     0.0224     0.9988     0.0444    -0.0209     0.0017   112.5968
    5.9956     6.1305   389.4409    -0.0214     0.0197    -0.9996     0.2241    -0.9743    -0.0240    -0.9743    -0.2245     0.0164     0.0088   112.5914
    5.9848     6.1410   388.9413    -0.0229     0.0258    -0.9994    -0.2328     0.9721     0.0304     0.9723     0.2333    -0.0162     0.0337   112.6104
    5.9739     6.1515   388.4416    -0.0175     0.0033    -0.9998     0.2339    -0.9722    -0.0073    -0.9721    -0.2340     0.0162     0.1260   112.5611
