t	Q
0	0
0.01	0.652043348
0.02	1.293803548
0.03	1.91515963
0.04	2.506312617
0.05	3.057939556
0.06	3.561340886
0.07	4.008577739
0.08	4.392597028
0.09	4.707342276
0.1	4.947850093
0.11	5.110327309
0.12	5.192211589
0.13	5.192211589
0.14	5.110327309
0.15	4.947850093
0.16	4.707342276
0.17	4.392597028
0.18	4.008577739
0.19	3.561340886
0.2	3.057939556
0.21	2.506312617
0.22	1.91515963
0.23	1.293803548
0.24	0.652043348
0.25	6.3712E-16
0.26	-0.191515974
0.27	-0.356134123
0.28	-0.470734182
0.29	-0.519221159
0.3	-0.494785009
0.31	-0.400857785
0.32	-0.250631273
0.33	-0.065204346
0.34	0.129380298
0.35	0.305793933
0.36	0.439259646
0.37	0.511032686
0.38	0.511032686
0.39	0.439259646
0.4	0.305793933
0.41	0.129380298
0.42	-0.065204346
0.43	-0.250631273
0.44	-0.400857785
0.45	-0.494785009
0.46	-0.519221159
0.47	-0.470734182
0.48	-0.356134123
0.49	-0.191515974
0.5	0
