t	Q
0	124.7334633
0.027667	328.2171783
0.055333	492.4350586
0.083	520.1818237
0.110667	440.5331726
0.138332993	352.9300385
0.166	261.5848312
0.193667007	162.6528931
0.221332993	61.66662407
0.249	14.34894323
0.276666992	1.385787994
0.304333008	-3.450927258
0.332	2.976089001
0.359666992	6.878008097
0.387333008	1.478813171
0.415	2.613767266
0.442666992	8.453687429
0.470333008	8.238751888
0.498	5.222845793
0.525666992	1.542318314
0.553333008	6.551765375
0.581	5.287411124
0.608666992	4.211797357
0.636333008	4.260748148
0.664	5.061523616
0.691666992	9.702822447
0.719333008	10.17151272
0.747	11.01495051
0.774666992	19.68283463
0.802333008	34.32978439
