Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (14.0645, 249.8681, 149.8754) connects to:
    Branch Segment 2
    Branch Segment 3

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
   18.3186     6.6420   154.3628    -0.3691     0.8429    -0.3915    -0.6788    -0.5322    -0.5059    -0.6348     0.0790     0.7686        n/a   415.1636
   18.1342     7.0632   154.1673    -0.3691     0.8429    -0.3915     0.3641    -0.2564    -0.8954    -0.8551    -0.4730    -0.2123     0.0000   440.5006
   17.9498     7.4843   153.9717    -0.3691     0.8429    -0.3915     0.6788     0.5322     0.5059     0.6348    -0.0790    -0.7686     0.0000   464.9361
   17.7654     7.9054   153.7761    -0.3691     0.8429    -0.3915    -0.6788    -0.5322    -0.5059    -0.6348     0.0790     0.7686     0.0000   488.1499
   17.5810     8.3265   153.5806    -0.3691     0.8429    -0.3915     0.6788     0.5322     0.5059     0.6348    -0.0790    -0.7686     0.0000   509.9882
   17.3966     8.7476   153.3850    -0.3691     0.8429    -0.3915    -0.6788    -0.5322    -0.5059    -0.6348     0.0790     0.7686     0.0000   530.0593
   17.2123     9.1687   153.1894    -0.3691     0.8429    -0.3915     0.6788     0.5322     0.5059     0.6348    -0.0790    -0.7686     0.0001   548.0129
   17.0279     9.5898   152.9939    -0.3691     0.8429    -0.3915    -0.6788    -0.5322    -0.5059    -0.6348     0.0790     0.7686     0.0004   563.2765
   16.8435    10.0109   152.7983    -0.3689     0.8430    -0.3914     0.6789     0.5320     0.5060     0.6348    -0.0790    -0.7686     0.0016   574.8699
   16.6591    10.4320   152.6027    -0.3697     0.8425    -0.3919    -0.6785    -0.5329    -0.5056    -0.6348     0.0790     0.7686     0.0058   579.9564
   16.4747    10.8531   152.4071    -0.3670     0.8446    -0.3899     0.6800     0.5296     0.5071     0.6348    -0.0790    -0.7686     0.0217   578.5114
   16.2903    11.2743   152.2116    -0.3770     0.8367    -0.3973    -0.6745    -0.5420    -0.5013    -0.6348     0.0790     0.7686     0.0808   583.9970
   16.1059    11.6954   152.0160    -0.3391     0.8653    -0.3690     0.6943     0.4949     0.5225     0.6348    -0.0790    -0.7686     0.3028   564.6432
   15.9539    12.1389   151.8449    -0.2883     0.8987    -0.3305    -0.7169    -0.4314    -0.5477    -0.6348     0.0790     0.7686     0.0134   543.6809
   15.8092    12.5874   151.6792    -0.2901     0.8976    -0.3318     0.7161     0.4336     0.5470     0.6349    -0.0790    -0.7686     0.0036   544.3286
   15.6644    13.0360   151.5136    -0.2896     0.8979    -0.3315    -0.7155    -0.4331    -0.5482    -0.6358     0.0784     0.7679     0.0010   544.1576
   15.5197    13.4845   151.3480    -0.2897     0.8979    -0.3316     0.7052     0.4345     0.5603     0.6472    -0.0715    -0.7590     0.0003   544.2049
   15.3750    13.9331   151.1823    -0.2897     0.8979    -0.3315    -0.6438    -0.4391    -0.6266    -0.7082     0.0319     0.7053     0.0002   544.1997
